"Date","Related","Document Title"
1791-01-22,"George Washington","Commission—Appointing Commissioners for Surveying the District of Territory for the Permanent Seat of the Government of the United States"
1826-07-11,"John Quincy Adams","Executive Order [on the deaths of Thomas Jefferson and John Adams]"
1828-02-28,"John Quincy Adams","Executive Order"
1829-04-08,"Andrew Jackson","Executive Order"
1830-06-12,"Andrew Jackson","Executive Order"
1831-08-06,"Andrew Jackson","Executive Order"
1834-06-21,"Andrew Jackson","Executive Order"
1836-08-07,"Andrew Jackson","Executive Order"
1837-02-15,"Andrew Jackson","Executive Order"
1837-02-18,"Andrew Jackson","Executive Order"
1837-03-07,"Martin van Buren","Executive Order"
1840-03-31,"Martin van Buren","Executive Order"
1841-07-05,"John Tyler","Executive Order"
1844-02-29,"John Tyler","Executive Order"
1845-06-16,"James K. Polk","Executive Order [on the death of Andrew Jackson]"
1847-03-23,"James K. Polk","Executive Order"
1848-02-24,"James K. Polk","Executive Order—Death of John Quincy Adams"
1849-06-19,"Zachary Taylor","Executive Order [on the death of James K. Polk]"
1850-07-10,"Millard Fillmore","Order of the President [on death of Zachary Taylor]"
1850-11-06,"Millard Fillmore","Executive Order—Reserving From Sale for Public Purposes Certain Lands in the Bay of San Francisco, California"
1851-12-31,"Millard Fillmore","Executive Order—Modifying and Reducing the Reservation at Port Point and Point Jose, San Francisco Harbor, California"
1852-05-17,"Millard Fillmore","Executive Order"
1852-06-29,"Millard Fillmore","Executive Order"
1852-09-13,"Millard Fillmore","Executive Order"
1852-10-25,"Millard Fillmore","Executive Order"
1853-03-23,"Franklin Pierce","Executive Order"
1853-04-20,"Franklin Pierce","Executive Order"
1859-03-08,"James Buchanan","Executive Order"
1861-04-25,"Abraham Lincoln","Executive Order"
1861-04-27,"Abraham Lincoln","Executive Order"
1861-04-30,"Abraham Lincoln","Executive Order"
1861-05-07,"Abraham Lincoln","Executive Order"
1861-06-20,"Abraham Lincoln","Executive Order"
1861-07-02,"Abraham Lincoln","Executive Order—Authorizing General Winfield Scott To Suspend the Writ of Habeas Corpus"
1861-07-31,"Abraham Lincoln","Executive Order"
1861-08-07,"Abraham Lincoln","Executive Order"
